🚛央视频｜官,#genre#
黑龙江卫视,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000009082&livemode=1&stbId=3
黑龙江卫视,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000001925&livemode=1&stbId=3

🚛百事｜综合,#genre#
CCTV1综合,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=cctv1hd8m/8000000
CCTV2财政,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=cctv2hd8m/8000000
CCTV3综艺,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=cctv38m/8000000
CCTV4中文国际,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=cctv4hd8m/8000000
CCTV5+体育赛事,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=cctv5hd8m/8000000
CCTV6电影频道,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=cctv6hd8m/8000000
CCTV7国防军事,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=cctv7hd8m/8000000
CCTV8电视剧频道,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=cctv8hd8m/8000000
CCTV9纪录,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=cctv9hd8m/8000000
CCTV10科教,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=cctv10hd8m/8000000
CCTV11戏曲,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=cctv11hd8m/8000000
CCTV12社会与法,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=cctv12hd8m/8000000
CCTV13新闻,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=cctv13xwhd8m/8000000
CCTV14少儿,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=cctvsehd8m/8000000
CCTV15音乐,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=cctv15hd8m/8000000
CCTV16奥林匹克,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=cctv16hd8m/8000000
CCTV17农业农村,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=cctv17hd8m/8000000
CCTV 4K,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=cctv4k/15000000
CCTV16 4K,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=cctv16hd4k/15000000
北京卫视,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=bjwshd8m/8000000
天津卫视,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=tjwshd8m/8000000
河北卫视,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=hbwshd8m/8000000
辽宁卫视,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=lnwshd8m/8000000
吉林卫视,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=jlwshd8m/8000000
黑龙江卫视,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=hljwshd8m/8000000
河南卫视,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=hnwshd8m/8000000
山东卫视,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=sdws8m/8000000
江苏卫视,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=jswshd8m/8000000
东方卫视,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=dfwshd8m/8000000
浙江卫视,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=zjwshd8m/8000000
东南卫视,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=dnwshd8m/8000000
湖北卫视,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=hubeiws8m/8000000
安徽卫视,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=ahwshd8m/8000000
江西卫视,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=jxws8m/8000000
广东卫视,http://svip.weixine.net:88/uploads/itvbox/tv/bestv.php?id=gdwshd8m/8000000
